,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Key:
,,Troops – Master List,,,,,,,,,,Updated 27th March 2016,,,,,,,,,,Work in Progress – The magic values really need checking – Not enough data online for the new 1.0.9 troops
,,,,,,,,,,,,,,,,,,,,,,
,,http://gems-of-war.wikia.com/wiki/Troops,,,,,,,,,,Request 21st March 2016,,,,,,,,,,
,,http://gemsofwar.com/game-guide-troop-list/,,,,,,,,,,http://community.gemsofwar.com/t/anyone-have-a-new-troop-list/4815,,,,,,Souls,Souls,,,
,No:,Troop,#,Mana1,Mana2,Type,Kingdom,Rarity,Rarity Now,Level,Traits,,1st Trait,2nd Trait,3rd Trait,Troop,,Spent,Req’d,Web-scrape,Spell,Spell Description
,1,Abhorath,15,Blue,Purple,Daemon,Karakoth,Legendary,Legendary,19,1,1,Arcane,Huge,Sacrifice,Abhorath,6,5855,1000,Abhorath,Devour the World,"Remove all Gems. Heal to full, and gain [1+Magic] Attack."
,2,Acolyte,10,Blue,Purple,Human,Karakoth,Rare,Mythic,19,1,1,Stone Link,Cursed,Jinx ,Acolyte,3,4185,700,Acolyte,Unearth Secrets,Create 9 Brown Gems. Increase a random Skill by [0+Magic].
,3,Alastair,14,Blue,Purple,Undead,Khetar,Epic,Legendary,19,1,1,Undead Slayer,Avenger,Armored ,Alastair,5,5245,900,Alastair,Resolve,"Give all allies [0+Magic] Armor, and remove all Purple Gems to Boost the effect. (Boost Ratio 4:1)"
,4,Alchemist,10,Red,Brown,Human,Adana,Ultra-Rare,Mythic,19,3,1,Merchant,Fire Link,Alert ,Alchemist,4,4665,800,Alchemist,Alchemy,Transform a selected Mana color to Yellow. Gain [3+Magic] Gold.
,5,Ancient Horror,10,Brown,Purple,Daemon,Karakoth,Ultra-Rare,Legendary,19,1,1,Cursed,Magic Link,Stone Spirit ,Ancient Horror,4,4665,800,Ancient Horror,Devour,Deal [3+Magic] damage to an enemy. Gain 3 Attack if the enemy dies.
